subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status	timestamp_duration
1	2	freeviewing	1	1	450697	view_stimuli/tolcam_face_28.png_left	806	475	-1	-1	fixation_onset	
1	2	freeviewing	1	2	450754	view_stimuli/tolcam_face_28.png_left	401	403	-1	-1	fixation_onset	57
1	2	freeviewing	1	3	450802	view_stimuli/tolcam_face_28.png_left	219	381	-1	-1	fixation_onset	48
1	2	freeviewing	1	4	450851	view_stimuli/tolcam_face_28.png_left	495	243	-1	-1	fixation_onset	49
1	2	freeviewing	1	5	450902	view_stimuli/tolcam_face_28.png_left	477	383	-1	-1	fixation_onset	51
1	2	freeviewing	1	6	450954	view_stimuli/tolcam_face_28.png_left	248	225	-1	-1	fixation_onset	52
1	2	freeviewing	1	7	451001	view_stimuli/tolcam_face_28.png_left	145	214	-1	-1	fixation_onset	47
1	2	freeviewing	1	8	451087	view_stimuli/tolcam_face_28.png_left	305	382	-1	-1	fixation_onset	86
1	2	freeviewing	1	9	451138	view_stimuli/tolcam_face_28.png_left	395	396	-1	-1	fixation_onset	51
1	2	freeviewing	1	10	451185	view_stimuli/tolcam_face_28.png_left	297	371	-1	-1	fixation_onset	47
1	2	freeviewing	1	11	451250	view_stimuli/tolcam_face_28.png_left	338	211	-1	-1	fixation_onset	65
1	2	freeviewing	1	12	451316	view_stimuli/tolcam_face_28.png_left	502	402	-1	-1	fixation_onset	66
1	2	freeviewing	1	13	451394	view_stimuli/tolcam_face_28.png_left	427	251	-1	-1	fixation_onset	78
1	2	freeviewing	1	14	451436	view_stimuli/tolcam_face_28.png_left	381	364	-1	-1	fixation_onset	42
1	2	freeviewing	1	15	451488	view_stimuli/tolcam_face_28.png_left	388	367	-1	-1	fixation_onset	52
1	2	freeviewing	1	16	451536	view_stimuli/tolcam_face_28.png_left	364	541	-1	-1	fixation_onset	48
1	2	freeviewing	1	17	451591	view_stimuli/tolcam_face_28.png_left	313	533	-1	-1	fixation_onset	55
1	2	freeviewing	1	18	451637	view_stimuli/tolcam_face_28.png_left	376	489	-1	-1	fixation_onset	46
1	2	freeviewing	1	19	451689	view_stimuli/tolcam_face_28.png_left	359	612	-1	-1	fixation_onset	52
