subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	18	1	4141910	298	575	654	444	379	20
1	3	18	2	4142010	338	514	654	444	323	20
1	3	18	3	4142094	251	573	654	444	423	20
1	3	18	4	4142188	256	538	654	444	408	20
1	3	18	5	4142277	645	468	654	444	25	20
1	3	18	6	4142364	714	431	654	444	61	20
1	3	18	7	4142455	782	506	654	444	142	20
1	3	18	8	4142542	763	426	654	444	110	20
1	3	18	9	4142636	750	421	654	444	98	20
1	3	18	10	4142723	756	445	654	444	102	20
1	3	18	11	4142835	744	389	654	444	105	19
1	3	18	12	4142921	779	413	654	444	128	19
1	3	18	13	4142977	752	427	654	444	99	19
1	3	18	14	4143033	744	458	654	444	91	18
1	3	18	15	4143078	791	333	654	444	176	18
1	3	18	16	4143119	781	450	654	444	127	18
1	3	18	17	4143160	717	390	654	444	82	18
1	3	18	18	4143218	760	392	654	444	118	17
1	3	18	19	4143284	710	320	654	444	136	17
1	3	18	20	4143329	710	352	654	444	107	17
1	3	18	21	4143393	730	513	654	444	102	16
1	3	18	22	4143440	781	448	654	444	127	16
1	3	18	23	4143482	738	523	654	444	115	16
1	3	18	24	4143523	648	439	654	444	7	16
1	3	18	25	4143577	544	293	654	444	186	15
1	3	18	26	4143619	444	134	654	444	374	15
1	3	18	27	4143662	643	398	654	444	47	15
1	3	18	28	4143702	793	421	654	444	140	15
1	3	18	29	4143763	579	371	654	444	104	14
1	3	18	30	4143808	471	119	654	444	372	14
1	3	18	31	4143853	518	424	654	444	137	14
1	3	18	32	4143897	822	341	654	444	197	14
1	3	18	33	4143950	672	391	654	444	55	13
1	3	18	34	4143993	632	382	654	444	65	13
1	3	18	35	4144034	785	489	654	444	138	13
1	3	18	36	4144082	717	512	654	444	92	13
1	3	18	37	4144143	717	434	654	444	63	12
1	3	18	38	4144184	681	518	654	444	78	12
1	3	18	39	4144226	790	436	654	444	136	12
1	3	18	40	4144272	702	442	654	444	48	12
1	3	18	41	4144328	769	398	654	444	123	11
1	3	18	42	4144370	713	591	654	444	158	11
1	3	18	43	4144412	615	443	654	444	39	11
1	3	18	44	4144453	707	355	654	444	103	11
1	3	18	45	4144506	789	452	654	444	135	10
1	3	18	46	4144549	651	500	654	444	56	10
1	3	18	47	4144590	651	373	654	444	71	10
1	3	18	48	4144633	682	519	654	444	80	10
1	3	18	49	4144692	731	455	654	444	77	9
1	3	18	50	4144733	662	406	654	444	38	9
1	3	18	51	4144775	690	599	654	444	159	9
1	3	18	52	4144820	378	263	654	444	330	9
1	3	18	53	4144872	431	169	654	444	354	8
1	3	18	54	4144914	802	251	654	444	243	8
1	3	18	55	4144954	829	272	654	444	245	8
1	3	18	56	4144998	736	449	654	444	82	8
1	3	18	57	4145051	726	482	654	444	81	7
1	3	18	58	4145094	720	503	654	444	88	7
1	3	18	59	4145136	642	450	654	444	13	7
1	3	18	60	4145176	726	511	654	444	98	7
1	3	18	61	4145229	614	451	654	444	40	6
1	3	18	62	4145271	704	431	654	444	51	6
1	3	18	63	4145314	671	399	654	444	48	6
1	3	18	64	4145361	668	440	654	444	14	6
1	3	18	65	4145415	709	438	654	444	55	5
1	3	18	66	4145457	719	369	654	444	99	5
1	3	18	67	4145498	584	506	654	444	93	5
1	3	18	68	4145540	603	426	654	444	54	5
1	3	18	69	4145593	758	468	654	444	106	4
1	3	18	70	4145637	687	460	654	444	36	4
1	3	18	71	4145678	673	534	654	444	91	4
1	3	18	72	4145718	652	450	654	444	6	4
1	3	18	73	4145773	641	498	654	444	55	3
1	3	18	74	4145814	581	460	654	444	74	3
1	3	18	75	4145860	633	525	654	444	83	3
1	3	18	76	4145901	697	469	654	444	49	3
1	3	18	77	4145954	687	478	654	444	47	2
1	3	18	78	4145998	697	476	654	444	53	2
1	3	18	79	4146038	662	402	654	444	42	2
1	3	18	80	4146080	689	472	654	444	44	2
1	3	18	81	4146133	751	483	654	444	104	1
1	3	18	82	4146174	699	439	654	444	45	1
1	3	18	83	4146215	625	529	654	444	89	1
1	3	18	84	4146255	673	475	654	444	36	1
