subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	4	freeviewing	4	1	4477933	view_stimuli/tolcam_face_18.png_left	369	422	-1	-1	fixation_onset
1	4	freeviewing	4	2	4477976	view_stimuli/tolcam_face_18.png_left	559	436	-1	-1	fixation_onset
1	4	freeviewing	4	3	4478018	view_stimuli/tolcam_face_18.png_left	684	440	-1	-1	fixation_onset
1	4	freeviewing	4	4	4478057	view_stimuli/tolcam_face_18.png_left	566	292	-1	-1	fixation_onset
1	4	freeviewing	4	5	4478098	view_stimuli/tolcam_face_18.png_left	547	271	-1	-1	fixation_onset
1	4	freeviewing	4	6	4478140	view_stimuli/tolcam_face_18.png_left	653	421	-1	-1	fixation_onset
1	4	freeviewing	4	7	4478180	view_stimuli/tolcam_face_18.png_left	543	506	-1	-1	fixation_onset
1	4	freeviewing	4	8	4478222	view_stimuli/tolcam_face_18.png_left	644	453	-1	-1	fixation_onset
1	4	freeviewing	4	9	4478263	view_stimuli/tolcam_face_18.png_left	586	524	-1	-1	fixation_onset
1	4	freeviewing	4	10	4478304	view_stimuli/tolcam_face_18.png_left	694	493	-1	-1	fixation_onset
1	4	freeviewing	4	11	4478345	view_stimuli/tolcam_face_18.png_left	648	494	-1	-1	fixation_onset
1	4	freeviewing	4	12	4478388	view_stimuli/tolcam_face_18.png_left	641	460	-1	-1	fixation_onset
1	4	freeviewing	4	13	4478429	view_stimuli/tolcam_face_18.png_left	596	482	-1	-1	fixation_onset
1	4	freeviewing	4	14	4478469	view_stimuli/tolcam_face_18.png_left	551	468	-1	-1	fixation_onset
1	4	freeviewing	4	15	4478510	view_stimuli/tolcam_face_18.png_left	641	451	-1	-1	fixation_onset
1	4	freeviewing	4	16	4478551	view_stimuli/tolcam_face_18.png_left	606	517	-1	-1	fixation_onset
1	4	freeviewing	4	17	4478593	view_stimuli/tolcam_face_18.png_left	710	413	-1	-1	fixation_onset
1	4	freeviewing	4	18	4478636	view_stimuli/tolcam_face_18.png_left	611	374	-1	-1	fixation_onset
1	4	freeviewing	4	19	4478676	view_stimuli/tolcam_face_18.png_left	572	374	-1	-1	fixation_onset
